sda             76,00    0,00  20248,00      0,00     0,00     0,00   0,00   0,00    5,26    0,00   0,40   266,42     0,00   3,47  26,40
sda             78,00    0,00  20712,00      0,00     0,00     0,00   0,00   0,00    4,72    0,00   0,37   265,54     0,00   3,23  25,20
sda             78,00    0,00  20996,00      0,00     0,00     0,00   0,00   0,00    4,97    0,00   0,39   269,18     0,00   3,44  26,80
sda             76,00    0,00  20240,00      0,00     0,00     0,00   0,00   0,00    4,58    0,00   0,35   266,32     0,00   3,16  24,00
sda             73,00    2,00  19488,00     20,00     1,00     3,00   1,35  60,00    4,49   40,00   0,41   266,96    10,00   3,89  29,20
sda             95,00    0,00  25480,00      0,00     0,00     0,00   0,00   0,00   13,35    0,00   1,27   268,21     0,00   5,77  54,80
sda            116,00    3,00  31116,00    136,00     0,00     1,00   0,00  25,00   12,31    0,00   1,44   268,24    45,33   5,92  70,40
sda            113,00    0,00  30056,00      0,00     0,00     0,00   0,00   0,00   12,00    0,00   1,37   265,98     0,00   5,52  62,40
sda            109,00    0,00  29304,00      0,00     0,00     0,00   0,00   0,00   12,70    0,00   1,38   268,84     0,00   5,69  62,00
sda             81,00    2,00  21568,00     40,00     1,00     8,00   1,22  80,00    7,56   14,00   0,62   266,27    20,00   4,24  35,20
sda             78,00    0,00  20632,00      0,00     0,00     0,00   0,00   0,00    3,85    0,00   0,30   264,51     0,00   2,92  22,80
sda             76,00    0,00  20236,00      0,00     0,00     0,00   0,00   0,00    4,53    0,00   0,34   266,26     0,00   3,21  24,40
sda             74,00    0,00  19856,00      0,00     0,00     0,00   0,00   0,00    4,81    0,00   0,36   268,32     0,00   3,30  24,40
sda             77,00    0,00  20504,00      0,00     0,00     0,00   0,00   0,00    3,90    0,00   0,30   266,29     0,00   2,86  22,00
sda             72,00    2,00  19260,00     20,00     1,00     3,00   1,37  60,00    5,67   16,00   0,44   267,50    10,00   3,95  29,20
sda             75,00    0,00  19944,00      0,00     0,00     0,00   0,00   0,00    4,75    0,00   0,36   265,92     0,00   3,36  25,20
sda             75,00    0,00  19880,00      0,00     0,00     0,00   0,00   0,00    5,07    0,00   0,37   265,07     0,00   3,36  25,20
